V1,V2,weight,V4
14I,01I,2.5704,ci-in
UNJ,01I,1.9758,ci-in
UNE,01I,1.446,ci-in
X36,02Z,2.2308,co-in
27Z,02Z,2.2248,co-in
X3A,02Z,2.0472,co-in
X46,02Z,1.8942,co-in
03Z,02Z,1.812,co-in
06Z,02Z,1.9512,co-in
25Z,02Z,1.9272,co-in
21Z,02Z,1.752,co-in
08Z,02Z,1.9356,co-in
07Z,02Z,1.8246,co-in
X44,02Z,1.7082,co-in
99Z,02Z,1.6782,co-in
20Z,02Z,1.6782,co-in
ZYS,02Z,1.647,co-in
X6B,02Z,1.791,co-in
26Z,02Z,1.6752,co-in
X40,02Z,1.6482,co-in
Z67,02Z,1.7514,co-in
X42,02Z,1.6296,co-in
X02,02Z,1.6134,co-in
56Z,02Z,1.581,co-in
Z71,02Z,1.7478,co-in
04Z,02Z,1.5606,co-in
50Z,02Z,1.521,co-in
Z31,02Z,1.4994,co-in
09Z,02Z,1.5462,co-in
O1Z,02Z,1.4676,co-in
CFK,02Z,1.416,co-in
Z63,02Z,1.5,co-in
X35,02Z,1.4892,co-in
12Z,02Z,1.452,co-in
Z60,02Z,1.4298,co-in
PQA,03C,1.5606,ci-in
PQB,03C,1.4154,ci-in
4CK,03K,2.5866,co-in
1CK,03K,1.8402,co-in
N5B,03K,2.1846,co-in
11K,03K,1.5558,co-in
3RF,03K,1.4196,co-in
REB,03K,1.389,co-in
292,03K,1.5048,co-in
09K,03K,1.3956,co-in
10K,03K,1.4256,co-in
W2P,03P,2.6094,ci-in
03Q,03P,2.0982,ci-in
W2R,03P,1.9932,ci-in
W32,03P,1.6458,ci-in
42Q,03P,1.4352,ci-in
W19,03P,1.392,ci-in
W2P,03Q,2.0634,ci-in
W2R,03Q,2.0412,ci-in
42Q,03Q,1.4718,ci-in
W32,03Q,1.3986,ci-in
44,03X,2.3688,nonspecific
75H,03X,2.3406,nonspecific
3Z2,03X,2.1036,nonspecific
MT3,03X,1.6788,nonspecific
MT4,03X,1.7244,nonspecific
88Z,03X,1.6038,nonspecific
1FN,03X,1.6884,nonspecific
DF6,03X,1.389,nonspecific
900,03X,1.5216,nonspecific
FPW,03X,1.6212,nonspecific
353,03X,1.6032,nonspecific
AM7,03X,1.5378,nonspecific
2RL,03X,1.4514,nonspecific
FPU,03X,1.4046,nonspecific
AV9,03X,1.4328,nonspecific
L1X,03X,1.671,nonspecific
AQZ,03X,1.3836,nonspecific
3Z3,03X,1.6434,nonspecific
JK2,03X,1.5264,nonspecific
3Z5,03X,1.6002,nonspecific
3Z4,03X,1.5282,nonspecific
919,03X,1.4598,nonspecific
X44,03Z,2.805,co-in
26Z,03Z,2.7,co-in
20Z,03Z,2.6544,co-in
X40,03Z,2.5806,co-in
21Z,03Z,2.61,co-in
X36,03Z,2.3352,co-in
X42,03Z,2.6088,co-in
56Z,03Z,2.5662,co-in
04Z,03Z,2.4918,co-in
27Z,03Z,2.2284,co-in
99Z,03Z,2.5482,co-in
X3A,03Z,2.0466,co-in
Z67,03Z,1.9758,co-in
06Z,03Z,2.0748,co-in
25Z,03Z,2.0364,co-in
Z71,03Z,1.9674,co-in
X6B,03Z,1.9662,co-in
07Z,03Z,1.9962,co-in
X46,03Z,2.0004,co-in
08Z,03Z,1.983,co-in
ZYS,03Z,1.755,co-in
X02,03Z,1.7064,co-in
09Z,03Z,1.5318,co-in
U32,03Z,1.6794,co-in
Z63,03Z,1.4874,co-in
X35,03Z,1.4922,co-in
Z31,03Z,1.5444,co-in
12Z,03Z,1.4748,co-in
O1Z,03Z,1.5132,co-in
SKE,03Z,1.3788,co-in
628,03Z,1.5036,co-in
U55,03Z,1.458,co-in
LZ4,03Z,1.4256,co-in
6AE,03Z,1.4472,co-in
FLY,04K,1.9644,ci-in
FLW,04K,1.9368,ci-in
LHL,04K,1.6062,ci-in
891,04K,1.8576,ci-in
FLS,04K,1.8576,ci-in
FLZ,04K,1.92,ci-in
3FN,04K,1.9386,ci-in
533,04K,1.8192,ci-in
FMK,04K,1.8192,ci-in
JIN,04K,1.5906,ci-in
FSS,04K,1.4196,ci-in
P16,04K,1.554,ci-in
P17,04K,1.5024,ci-in
FPX,04K,1.4886,ci-in
T1Q,04K,1.3932,ci-in
XR1,04K,1.4814,ci-in
BWP,04K,1.3806,ci-in
BYP,04K,1.3806,ci-in
AU5,04K,1.3806,ci-in
FKL,04K,1.383,ci-in
0KD,04L,1.5036,nonspecific
26Z,04Z,2.505,co-in
56Z,04Z,2.628,co-in
X46,04Z,2.3952,co-in
X42,04Z,2.43,co-in
20Z,04Z,2.4354,co-in
X44,04Z,2.4444,co-in
X40,04Z,2.3088,co-in
21Z,04Z,2.2854,co-in
99Z,04Z,2.298,co-in
27Z,04Z,1.9662,co-in
X6B,04Z,1.8462,co-in
Z67,04Z,1.8342,co-in
25Z,04Z,1.8606,co-in
X36,04Z,1.9344,co-in
Z71,04Z,1.8174,co-in
06Z,04Z,1.8198,co-in
08Z,04Z,1.7982,co-in
07Z,04Z,1.8036,co-in
X3A,04Z,1.7784,co-in
ZYS,04Z,1.5324,co-in
Z31,04Z,1.4634,co-in
09Z,04Z,1.443,co-in
O1Z,04Z,1.443,co-in
X02,04Z,1.455,co-in
U32,04Z,1.5624,co-in
628,04Z,1.4256,co-in
6AE,04Z,1.3968,co-in
I85,05B,1.7196,ci-in
553,05B,1.6884,ci-in
85,05B,1.3878,ci-in
0SY,05B,1.4118,ci-in
P4O,05B,1.4586,ci-in
F10,05B,1.4058,ci-in
L8I,05B,1.4034,ci-in
15G,05B,1.3908,ci-in
664,05B,1.401,ci-in
5QO,05B,1.3992,ci-in
R48,06F,1.9812,ci-out
L51,06F,2.0244,ci-out
KAO,06F,1.9668,ci-out
SS6,06F,1.8816,ci-out
K9Y,06F,1.8396,ci-out
1AW,06F,1.8972,ci-out
0SU,06F,1.7808,ci-out
0SQ,06F,1.8336,ci-out
Z87,06F,1.8072,ci-out
R39,06F,1.878,ci-out
437,06F,1.8774,ci-out
0YH,06F,1.7994,ci-out
0SV,06F,1.7796,ci-out
0YJ,06F,1.8234,ci-out
0ST,06F,1.7406,ci-out
1BU,06F,1.7928,ci-out
R49,06F,1.83,ci-out
0SS,06F,1.7424,ci-out
0SO,06F,1.731,ci-out
1PP,06F,1.8048,ci-out
0SR,06F,1.7322,ci-out
B96,06F,1.7964,ci-out
AQU,06F,1.776,ci-out
1AU,06F,1.8072,ci-out
Z85,06F,1.698,ci-out
Z83,06F,1.7076,ci-out
48,06F,1.3932,ci-out
AQM,06F,1.6872,ci-out
BMU,06F,1.395,ci-out
9DP,06F,1.695,ci-out
Z84,06F,1.6686,ci-out
DG7,06F,1.659,ci-out
AQB,06F,1.671,ci-out
Z86,06F,1.6278,ci-out
N61,06F,1.4052,ci-out
P79,06F,1.401,ci-out
919,06F,1.5828,ci-out
YIW,06F,1.482,ci-out
YIS,06F,1.437,ci-out
X36,06Z,2.5854,co-in
21Z,06Z,2.1456,co-in
25Z,06Z,2.382,co-in
X42,06Z,2.1558,co-in
X46,06Z,2.2434,co-in
X3A,06Z,2.247,co-in
X6B,06Z,1.6674,co-in
ZYS,06Z,1.92,co-in
26Z,06Z,1.9464,co-in
07Z,06Z,2.0406,co-in
X02,06Z,1.884,co-in
X44,06Z,1.9338,co-in
08Z,06Z,2.028,co-in
20Z,06Z,1.89,co-in
X40,06Z,1.7994,co-in
56Z,06Z,1.8018,co-in
Z71,06Z,1.5426,co-in
99Z,06Z,1.7838,co-in
Z67,06Z,1.4802,co-in
Z31,06Z,1.7334,co-in
09Z,06Z,1.695,co-in
O1Z,06Z,1.686,co-in
27Z,06Z,1.4436,co-in
Z63,06Z,1.6518,co-in
X35,06Z,1.6374,co-in
12Z,06Z,1.6098,co-in
50Z,06Z,1.5018,co-in
Z60,06Z,1.4862,co-in
4KK,07Q,1.9884,ci-in
07R,07Q,2.0688,ci-in
4KH,07Q,1.494,ci-in
7QQ,07Q,1.4376,ci-in
4KK,07R,1.7862,ci-in
4KH,07R,1.5744,ci-in
0WA,07R,1.3866,ci-in
S25,07S,2.0856,ci-in
G6K,07S,1.3998,ci-in
3O4,07S,1.4286,ci-in
G5K,07S,1.3908,ci-in
3J7,07U,1.6272,ci-in
55U,07U,1.4598,ci-in
08Z,07Z,2.6484,co-in
X3A,07Z,2.6454,co-in
X40,07Z,2.295,co-in
X36,07Z,2.271,co-in
09Z,07Z,2.0532,co-in
X35,07Z,1.9758,co-in
12Z,07Z,1.938,co-in
X44,07Z,1.935,co-in
X46,07Z,2.0382,co-in
25Z,07Z,1.9998,co-in
26Z,07Z,1.8882,co-in
20Z,07Z,1.8702,co-in
21Z,07Z,1.8702,co-in
X42,07Z,1.8306,co-in
56Z,07Z,1.8228,co-in
ZYS,07Z,1.722,co-in
X02,07Z,1.686,co-in
27Z,07Z,1.4946,co-in
99Z,07Z,1.7658,co-in
Z63,07Z,1.629,co-in
Z67,07Z,1.3884,co-in
Z31,07Z,1.5996,co-in
0BX,07Z,1.3908,co-in
O1Z,07Z,1.5714,co-in
NHI,07Z,1.4058,co-in
X6B,07Z,1.3776,co-in
50Z,07Z,1.464,co-in
0C9,07Z,1.467,co-in
0BY,07Z,1.3836,co-in
0C5,07Z,1.3998,co-in
Z60,07Z,1.3782,co-in
KCX,08M,1.4952,nonspecific
NMM,08M,1.4412,nonspecific
ALY,08M,1.5186,nonspecific
X3A,08Z,2.634,co-in
X40,08Z,2.3244,co-in
09Z,08Z,2.079,co-in
X36,08Z,2.2596,co-in
X35,08Z,2.0046,co-in
12Z,08Z,1.965,co-in
X44,08Z,1.9602,co-in
26Z,08Z,1.9086,co-in
X46,08Z,1.9956,co-in
20Z,08Z,1.8882,co-in
25Z,08Z,1.9956,co-in
X42,08Z,1.8528,co-in
56Z,08Z,1.8234,co-in
21Z,08Z,1.8582,co-in
27Z,08Z,1.5858,co-in
ZYS,08Z,1.7106,co-in
99Z,08Z,1.7874,co-in
X02,08Z,1.6806,co-in
Z63,08Z,1.6518,co-in
Z67,08Z,1.4394,co-in
Z31,08Z,1.6188,co-in
O1Z,08Z,1.5888,co-in
X6B,08Z,1.4274,co-in
Z71,08Z,1.4214,co-in
50Z,08Z,1.4838,co-in
Z60,08Z,1.3962,co-in
1AO,09H,1.764,ci-in
2HV,09H,1.6176,ci-in
1AM,09H,1.5972,ci-in
6V5,09H,1.6092,ci-in
6V4,09H,1.5318,ci-in
3YR,09H,1.4958,ci-in
LHJ,09J,1.7778,ci-in
CQ0,09J,1.4694,ci-in
FKL,09J,1.4982,ci-in
P66,09J,1.5408,ci-in
P37,09J,1.6176,ci-in
NK0,09J,1.4532,ci-in
38P,09J,1.4586,ci-in
4FR,09J,1.4418,ci-in
5FR,09J,1.3854,ci-in
SVE,09J,1.4274,ci-in
9ZP,09J,1.3812,ci-in
2V3,09J,1.3788,ci-in
3Z3,09J,1.398,ci-in
292,09K,2.214,co-in
10K,09K,2.04,co-in
N5B,09K,1.6776,co-in
11K,09K,1.9446,co-in
EFQ,09K,1.401,co-in
4CK,09K,1.4058,co-in
X3A,09Z,2.2122,co-in
12Z,09Z,2.3502,co-in
X35,09Z,2.3778,co-in
X40,09Z,1.86,co-in
ZYS,09Z,2.1564,co-in
X36,09Z,1.8408,co-in
X02,09Z,1.9602,co-in
Z63,09Z,1.9566,co-in
X46,09Z,1.6674,co-in
21Z,09Z,1.4934,co-in
25Z,09Z,1.635,co-in
O1Z,09Z,1.8156,co-in
X44,09Z,1.4844,co-in
26Z,09Z,1.479,co-in
Z31,09Z,1.8126,co-in
X42,09Z,1.449,co-in
56Z,09Z,1.4262,co-in
50Z,09Z,1.6824,co-in
20Z,09Z,1.4412,co-in
99Z,09Z,1.4208,co-in
Z60,09Z,1.596,co-in
NHI,0BX,2.8362,nonspecific
0C9,0BX,2.3514,nonspecific
0BY,0BX,2.4162,nonspecific
0BZ,0BX,2.4078,nonspecific
0C4,0BX,2.421,nonspecific
0C0,0BX,2.295,nonspecific
0C3,0BX,2.2554,nonspecific
0C5,0BX,2.3646,nonspecific
0C8,0BX,2.0808,nonspecific
NHU,0BX,1.9482,nonspecific
NHJ,0BX,1.9548,nonspecific
0C6,0BX,1.9434,nonspecific
859,0BX,1.731,nonspecific
CC3,0BX,1.5816,nonspecific
0C7,0BX,1.5108,nonspecific
7X8,0BX,1.3854,nonspecific
FAL,0BX,1.3866,nonspecific
FBL,0BX,1.3866,nonspecific
S91,0BX,1.4892,nonspecific
48B,0BX,1.4142,nonspecific
0C9,0BY,2.2524,nonspecific
0BZ,0BY,2.3712,nonspecific
0C4,0BY,2.382,nonspecific
0C0,0BY,2.247,nonspecific
NHI,0BY,2.3406,nonspecific
0C3,0BY,2.2326,nonspecific
0C5,0BY,2.2446,nonspecific
0C8,0BY,2.0892,nonspecific
0C6,0BY,2.3886,nonspecific
NHU,0BY,1.902,nonspecific
0C7,0BY,1.9488,nonspecific
859,0BY,1.6794,nonspecific
NHJ,0BY,1.7526,nonspecific
FAL,0BY,1.689,nonspecific
FBL,0BY,1.689,nonspecific
7X8,0BY,1.5612,nonspecific
45B,0BY,1.4646,nonspecific
CC3,0BY,1.4868,nonspecific
ZZL,0BY,1.4616,nonspecific
48B,0BY,1.5882,nonspecific
3NG,0BY,1.4526,nonspecific
X0A,0BY,1.3806,nonspecific
7X2,0BY,1.4178,nonspecific
S91,0BY,1.419,nonspecific
0C9,0BZ,2.2644,omega
0C4,0BZ,2.3832,omega
0C3,0BZ,2.3172,omega
0C0,0BZ,2.2278,omega
NHI,0BZ,2.3358,omega
0C5,0BZ,2.2602,omega
0C8,0BZ,2.1258,omega
NHU,0BZ,1.9104,omega
0C6,0BZ,2.1042,omega
NHJ,0BZ,1.8006,omega
859,0BZ,1.683,omega
0C7,0BZ,1.575,omega
ZZL,0BZ,1.5192,omega
CC3,0BZ,1.4994,omega
FAL,0BZ,1.428,omega
FBL,0BZ,1.428,omega
48B,0BZ,1.557,omega
7X8,0BZ,1.3962,omega
45B,0BZ,1.4022,omega
4GU,0BZ,1.3932,omega
S91,0BZ,1.4286,omega
0C9,0C0,2.2146,ci-in
0C4,0C0,2.2254,ci-in
NHI,0C0,2.2122,ci-in
0C3,0C0,2.067,ci-in
0C5,0C0,2.211,ci-in
0C8,0C0,1.9062,ci-in
NHU,0C0,1.7952,ci-in
0C6,0C0,1.7628,ci-in
859,0C0,1.5888,ci-in
0C7,0C0,1.5834,ci-in
NHJ,0C0,1.6524,ci-in
0C8,0C3,2.073,ci-in
0C9,0C3,2.2872,ci-in
0C4,0C3,2.2254,ci-in
NHI,0C3,2.181,ci-in
0C5,0C3,2.283,ci-in
NHU,0C3,1.9104,ci-in
NHJ,0C3,1.938,ci-in
0C6,0C3,1.839,ci-in
859,0C3,1.6854,ci-in
CC3,0C3,1.5732,ci-in
0C7,0C3,1.515,ci-in
0C9,0C4,2.2656,omega
NHI,0C4,2.349,omega
0C5,0C4,2.2626,omega
0C8,0C4,2.0544,omega
NHU,0C4,1.9116,omega
0C6,0C4,1.9446,omega
859,0C4,1.6878,omega
NHJ,0C4,1.7442,omega
0C7,0C4,1.563,omega
CC3,0C4,1.4604,omega
FAL,0C4,1.404,omega
FBL,0C4,1.404,omega
7X8,0C4,1.3842,omega
ZZL,0C4,1.3818,omega
BWP,0C4,1.4094,omega
BYP,0C4,1.4094,omega
48B,0C4,1.4352,omega
S91,0C4,1.4154,omega
0C9,0C5,2.3598,omega
NHI,0C5,2.2818,omega
0C8,0C5,2.001,omega
NHU,0C5,1.9944,omega
0C6,0C5,1.8504,omega
859,0C5,1.7808,omega
NHJ,0C5,1.674,omega
0C7,0C5,1.4934,omega
REB,0C5,1.4058,omega
38R,0C5,1.3902,omega
CC3,0C5,1.4346,omega
PRC,0C5,1.3836,omega
48B,0C5,1.3962,omega
S91,0C5,1.4562,omega
48B,0C6,1.8924,omega
45B,0C6,1.7094,omega
0C9,0C6,1.8288,omega
0C8,0C6,1.7124,omega
ZZL,0C6,1.4364,omega
NHI,0C6,1.8684,omega
NHU,0C6,1.4844,omega
0C7,0C6,1.6236,omega
BWP,0C6,1.3776,omega
BYP,0C6,1.3776,omega
NHJ,0C6,1.5444,omega
0C9,0C7,1.5132,omega
NHU,0C7,1.5198,omega
0C8,0C7,1.4226,omega
NHI,0C7,1.4544,omega
FAL,0C7,1.5006,omega
FBL,0C7,1.5006,omega
859,0C7,1.401,omega
38R,0C7,1.4502,omega
REB,0C7,1.4358,omega
7KW,0C7,1.383,omega
APJ,0C7,1.4376,omega
NHJ,0C7,1.4196,omega
0C9,0C8,2.0406,ci-in
NHI,0C8,2.0406,ci-in
NHU,0C8,1.6488,ci-in
NHJ,0C8,1.6896,ci-in
859,0C8,1.6158,ci-in
7X8,0C8,1.4046,ci-in
48B,0C8,1.3788,ci-in
NHI,0C9,2.3646,ci-in
NHU,0C9,2.2482,ci-in
859,0C9,1.9542,ci-in
NHJ,0C9,1.6746,ci-in
5RI,0C9,1.4676,ci-in
CC3,0C9,1.4058,ci-in
FAL,0C9,1.3776,ci-in
FBL,0C9,1.3776,ci-in
7X8,0C9,1.4226,ci-in
ZZL,0C9,1.3776,ci-in
PRC,0C9,1.3998,ci-in
48B,0C9,1.416,ci-in
S91,0C9,1.551,ci-in
VIN,0CE,1.8726,co-in
XDR,0CE,1.5462,co-in
1ST,0CE,1.5162,co-in
2V9,0CE,1.4604,co-in
ITQ,0CE,1.6266,co-in
4ST,0CE,1.4478,co-in
CQQ,0F0,2.6622,ci-in
PRC,0F0,1.8186,ci-in
MPZ,0F0,1.9482,ci-in
STI,0F0,1.8534,ci-in
NIL,0F0,1.5978,ci-in
406,0F0,1.5558,ci-in
1QO,0F0,1.449,ci-in
3O4,0F0,1.6548,ci-in
RAJ,0F0,1.5558,ci-in
O19,0F0,1.458,ci-in
5I1,0F0,1.4718,ci-in
AM5,0F0,1.3836,ci-in
L7O,0F0,1.4334,ci-in
XJ1,0F5,1.7238,ci-in
UNQ,0F5,1.5582,ci-in
X06,0F9,1.4652,ci-in
583,0F9,1.3842,ci-in
WG8,0FK,1.4976,ci-in
G12,0FO,1.5786,ci-in
3G5,0FO,1.3824,ci-in
REF,0FO,1.413,ci-in
NRA,0FO,1.3944,ci-in
EML,0FY,1.662,ci-in
58V,0FY,1.3842,ci-in
0G2,0G1,1.8312,ci-in
477,0G1,1.767,ci-in
477,0G2,2.3562,ci-in
1LB,0HD,1.3872,ci-in
NJD,0HD,1.4304,ci-in
LZ1,0HD,1.3782,ci-in
6S9,0HD,1.3872,ci-in
1JC,0J8,1.4346,co-in
2K0,0J8,1.5552,co-in
Q6W,0J8,1.4322,co-in
IPW,0J8,1.5606,co-in
DQX,0J8,1.3812,co-in
VGH,0J8,1.386,co-in
1UH,0J8,1.4364,co-in
BK2,0J9,2.538,co-in
0JN,0J9,1.989,co-in
PP1,0J9,2.3868,co-in
6HL,0J9,1.8906,co-in
VGG,0J9,1.7712,co-in
1FB,0J9,1.6602,co-in
DXR,0J9,1.728,co-in
BK1,0J9,1.701,co-in
BK3,0J9,1.4748,co-in
ABJ,0J9,1.974,co-in
KS5,0J9,2.079,co-in
6HJ,0J9,1.6056,co-in
BK4,0J9,1.989,co-in
21E,0J9,1.4208,co-in
BK5,0J9,1.938,co-in
KS4,0J9,1.746,co-in
I76,0J9,1.8282,co-in
2H1,0J9,1.7166,co-in
PD5,0J9,1.7988,co-in
KS1,0J9,1.7484,co-in
BK6,0J9,1.6974,co-in
UWA,0J9,1.809,co-in
BK7,0J9,1.68,co-in
UWB,0J9,1.6692,co-in
VSH,0J9,1.6818,co-in
V68,0J9,1.689,co-in
4C9,0J9,1.5756,co-in
C88,0J9,1.5936,co-in
UW9,0J9,1.683,co-in
L1G,0J9,1.4322,co-in
18R,0J9,1.5462,co-in
L2G,0J9,1.4088,co-in
L3G,0J9,1.4034,co-in
13J,0J9,1.4994,co-in
13L,0J9,1.4994,co-in
CKJ,0J9,1.3902,co-in
0T2,0JA,1.9662,ci-out
1SW,0JA,1.7442,ci-out
1SU,0JA,1.7466,ci-out
NG7,0JA,1.5126,ci-out
G7K,0JA,1.4058,ci-out
35R,0JE,1.4016,ci-in
0JH,0JG,2.175,ci-in
VSA,0JG,1.4004,ci-in
VS0,0JG,1.425,ci-in
VRZ,0JG,1.4184,ci-in
0WH,0JG,1.401,ci-in
3Z6,0JG,1.3794,ci-in
4C9,0JH,1.4718,ci-in
VSH,0JH,1.3806,ci-in
VSG,0JH,1.4676,ci-in
VSA,0JH,1.4112,ci-in
0WH,0JH,1.4466,ci-in
VS0,0JH,1.434,ci-in
VRZ,0JH,1.4598,ci-in
VSB,0JH,1.455,ci-in
VSE,0JH,1.455,ci-in
B43,0JH,1.4142,ci-in
VSF,0JH,1.4772,ci-in
3Z6,0JH,1.4196,ci-in
L3G,0JH,1.3926,ci-in
B2D,0JJ,2.3826,co-in
L5G,0JJ,1.5918,co-in
KRW,0JK,1.428,co-in
44X,0JL,1.569,co-in
5T1,0JL,1.5762,co-in
BK1,0JN,2.5674,nonspecific
VGG,0JN,2.4252,nonspecific
DXR,0JN,2.3622,nonspecific
BK3,0JN,2.127,nonspecific
BK2,0JN,1.851,nonspecific
PP1,0JN,1.7718,nonspecific
1FB,0JN,1.6254,nonspecific
VSP,0JN,1.8042,nonspecific
6HL,0JN,1.383,nonspecific
KS5,0JN,1.5282,nonspecific
PD3,0JN,1.6638,nonspecific
ABJ,0JN,1.4424,nonspecific
16W,0JN,1.464,nonspecific
BK5,0JN,1.4364,nonspecific
I76,0JN,1.3998,nonspecific
2H1,0JN,1.4028,nonspecific
BK4,0JN,1.4292,nonspecific
UWA,0JN,1.3806,nonspecific
DHC,0JW,1.4724,ci-in
KDI,0K0,1.7028,ci-in
GR9,0K0,1.6038,ci-in
0K1,0K0,1.5378,ci-in
7YG,0K0,1.6188,ci-in
5L4,0K0,1.383,ci-in
KDI,0K1,1.431,ci-in
6ZZ,0K6,2.0082,ci-in
4F2,0K6,1.4562,ci-in
AU5,0K6,1.533,ci-in
8C5,0K6,1.5426,ci-in
R4L,0K6,1.5246,ci-in
IXH,0K6,1.488,ci-in
LQQ,0K6,1.5792,ci-in
97B,0K6,1.4052,ci-in
4K4,0K6,1.4652,ci-in
24V,0K6,1.4754,ci-in
1J4,0K6,1.4094,ci-in
R78,0K6,1.4106,ci-in
71,0K6,1.4418,ci-in
AM9,0K6,1.4574,ci-in
937,0K6,1.4016,ci-in
BJG,0K6,1.3992,ci-in
XR1,0K6,1.44,ci-in
P48,0K6,1.4394,ci-in
MH4,0K6,1.425,ci-in
6HJ,0K6,1.4004,ci-in
L1G,0K6,1.4814,ci-in
L2G,0K6,1.4484,ci-in
50V,0K6,1.4916,ci-in
50O,0K6,1.473,ci-in
50W,0K6,1.4718,ci-in
2VL,0K6,1.398,ci-in
50Y,0K6,1.4592,ci-in
XY3,0LI,2.0328,ci-out
66K,0LI,1.7004,ci-out
NG2,0LI,1.728,ci-out
LQ5,0LI,1.497,ci-out
DI1,0LI,1.56,ci-out
406,0LI,1.6044,ci-out
STI,0LI,1.4388,ci-out
NG7,0LI,1.5282,ci-out
46,0LI,1.491,ci-out
AM5,0LI,1.4994,ci-out
AM6,0LI,1.4568,ci-out
G6G,0LI,1.3902,ci-out
66X,0LI,1.4076,ci-out
5WR,0LI,1.5294,ci-out
5X1,0LI,1.5138,ci-out
831,0LI,1.44,ci-out
35F,0MX,1.527,ci-in
D15,0MX,1.41,ci-in
6BU,0MX,1.539,ci-in
IDV,0MX,1.449,ci-in
IDK,0MX,1.4418,ci-in
3K3,0NF,1.6944,ci-out
1RS,0NH,1.851,ci-in
0UJ,0NH,1.734,ci-in
0NV,0NH,1.737,ci-in
0NT,0NH,1.6854,ci-in
0NU,0NH,1.6242,ci-in
0NL,0NH,1.6428,ci-in
JAK,0NH,1.6872,ci-in
1J5,0NH,1.446,ci-in
1J6,0NH,1.4328,ci-in
15T,0NH,1.4196,ci-in
1RS,0NL,2.0118,ci-in
0NT,0NL,1.8354,ci-in
0NU,0NL,1.7796,ci-in
0NV,0NL,1.7946,ci-in
JAK,0NL,1.7166,ci-in
1J5,0NL,1.6314,ci-in
15T,0NL,1.6194,ci-in
1J6,0NL,1.6134,ci-in
0UJ,0NL,1.494,ci-in
79T,0NL,1.4556,ci-in
79R,0NL,1.4316,ci-in
79S,0NL,1.437,ci-in
1RS,0NT,2.0196,ci-in
0NU,0NT,2.0052,ci-in
0NV,0NT,1.9926,ci-in
C5I,0NT,1.5822,ci-in
1J5,0NT,1.6206,ci-in
1J6,0NT,1.6002,ci-in
JAK,0NT,1.7562,ci-in
15T,0NT,1.5846,ci-in
79T,0NT,1.5456,ci-in
79S,0NT,1.5444,ci-in
0UJ,0NT,1.4436,ci-in
79R,0NT,1.518,ci-in
C5I,0NU,2.2008,ci-in
1RS,0NU,1.9782,ci-in
0NV,0NU,1.9788,ci-in
MI1,0NU,1.5432,ci-in
1J6,0NU,1.6722,ci-in
15T,0NU,1.6542,ci-in
1J5,0NU,1.6278,ci-in
79T,0NU,1.5888,ci-in
JAK,0NU,1.6722,ci-in
79S,0NU,1.5714,ci-in
79R,0NU,1.5108,ci-in
0UJ,0NU,1.4652,ci-in
1RS,0NV,2.358,ci-in
JAK,0NV,1.923,ci-in
1J6,0NV,1.644,ci-in
C5I,0NV,1.5156,ci-in
1J5,0NV,1.6212,ci-in
15T,0NV,1.6284,ci-in
0UJ,0NV,1.4952,ci-in
IQO,0NV,1.5366,ci-in
79T,0NV,1.3794,ci-in
6J9,0NV,1.386,ci-in
3X7,0NV,1.455,ci-in
0PF,0O7,2.2716,omega
1BQ,0O7,1.9266,omega
1BR,0O7,1.8666,omega
6MV,0OK,1.4508,ci-in
JPZ,0OK,1.5438,ci-in
NQB,0OK,1.4724,ci-in
2V2,0OK,1.383,ci-in
QC0,0OK,1.4112,ci-in
C52,0OK,1.3968,ci-in
NIO,0OM,1.8486,nonspecific
PZX,0OM,1.6356,nonspecific
0ON,0OM,1.3854,nonspecific
NIO,0ON,1.4874,omega
PRC,0ON,1.503,omega
LZ5,0ON,1.4232,omega
XU2,0ON,1.3794,omega
LKB,0ON,1.3866,omega
X76,0ON,1.521,omega
608,0ON,1.4106,omega
8ST,0ON,1.3938,omega
0OP,0OO,1.9614,omega
BPK,0OP,1.449,omega
620,0OP,1.4046,omega
0SJ,0OQ,2.5464,ci-in
1BR,0PF,2.0658,omega
1BQ,0PF,1.8336,omega
JAK,0Q2,1.4172,ci-in
6S1,0R4,1.8888,nonspecific
831,0R4,1.4022,nonspecific
Q7M,0R4,1.4712,nonspecific
G9B,0R4,1.4484,nonspecific
5WH,0R4,1.407,nonspecific
XM1,0RF,1.4442,ci-in
SMY,0RF,1.461,ci-in
JNZ,0RW,1.554,ci-in
IDZ,0RW,1.3872,ci-in
LL1,0RW,1.458,ci-in
Z19,0RW,1.4514,ci-in
LZ1,0RW,1.767,ci-in
GK6,0RX,1.7832,ci-in
N17,0RX,1.4922,ci-in
AA0,0RX,1.5864,ci-in
KQ7,0RX,1.6326,ci-in
AQZ,0RX,1.5834,ci-in
P38,0RX,1.398,ci-in
SR8,0RX,1.3872,ci-in
WBT,0RX,1.3902,ci-in
3O4,0RX,1.4424,ci-in
LI2,0RX,1.3782,ci-in
608,0RX,1.4328,ci-in
LI3,0RX,1.386,ci-in
106,0S0,1.3962,co-in
0S9,0S7,1.866,ci-in
0S8,0S7,1.6908,ci-in
AZ5,0S7,1.5816,ci-in
4T5,0S7,1.4502,ci-in
0S9,0S8,2.4,ci-in
50E,0SB,1.4904,ci-in
0SV,0SO,2.469,ci-out
0SU,0SO,2.4402,ci-out
0SR,0SO,2.3274,ci-out
0ST,0SO,2.2554,ci-out
